_id,sessionId,customerId,merchantId,eventType,productId,productIds[0],productIds[1],productIds[2],productIds[3],cartTotal,recoveryStatus,createdAt,__v,cartItems[0].productId,cartItems[1].productId,cartItems[2].productId,cartItems[3].productId,cartItems[0].name,cartItems[1].name,cartItems[2].name,cartItems[3].name,cartItems[0].quantity,cartItems[1].quantity,cartItems[2].quantity,cartItems[3].quantity,cartItems[0].price,cartItems[1].price,cartItems[2].price,cartItems[3].price,cartItems[0]._id,cartItems[1]._id,cartItems[2]._id,cartItems[3]._id,abandonmentReason
6a79b1c65e74060a157e6c5f,session_1786293764305_agj3v9c17,6a782e97018c2b4d3ecad2cf,6a70a070faabc7ced4271957,product_viewed,6a777c33b31338dbaaaf7ac1,,,,,0,pending,2026-08-10T11:11:02.282Z,0,,,,,,,,,,,,,,,,,,,,,
6a79b1c65e74060a157e6c62,session_1786293764305_agj3v9c17,6a782e97018c2b4d3ecad2cf,6a70a070faabc7ced4271957,product_viewed,6a777bd9b31338dbaaaf7aa2,,,,,0,pending,2026-08-10T11:11:02.310Z,0,,,,,,,,,,,,,,,,,,,,,
6a79b1c65e74060a157e6c65,session_1786293764305_agj3v9c17,6a782e97018c2b4d3ecad2cf,6a70a070faabc7ced4271957,product_viewed,6a777b64b31338dbaaaf7a84,,,,,0,pending,2026-08-10T11:11:02.341Z,0,,,,,,,,,,,,,,,,,,,,,
6a79b1c65e74060a157e6c68,session_1786293764305_agj3v9c17,6a782e97018c2b4d3ecad2cf,6a70a070faabc7ced4271957,product_viewed,6a777afcb31338dbaaaf7a67,,,,,0,pending,2026-08-10T11:11:02.362Z,0,,,,,,,,,,,,,,,,,,,,,
6a79b1c65e74060a157e6c6b,session_1786293764305_agj3v9c17,6a782e97018c2b4d3ecad2cf,6a70a070faabc7ced4271957,product_viewed,6a777aafb31338dbaaaf7a4b,,,,,0,pending,2026-08-10T11:11:02.381Z,0,,,,,,,,,,,,,,,,,,,,,
6a79b1c65e74060a157e6c6e,session_1786293764305_agj3v9c17,6a782e97018c2b4d3ecad2cf,6a70a070faabc7ced4271957,product_viewed,6a777a2bb31338dbaaaf7a30,,,,,0,pending,2026-08-10T11:11:02.399Z,0,,,,,,,,,,,,,,,,,,,,,
6a79b1c65e74060a157e6c71,session_1786293764305_agj3v9c17,6a782e97018c2b4d3ecad2cf,6a70a070faabc7ced4271957,product_viewed,6a7779bab31338dbaaaf7a04,,,,,0,pending,2026-08-10T11:11:02.542Z,0,,,,,,,,,,,,,,,,,,,,,
6a79b1c65e74060a157e6c74,session_1786293764305_agj3v9c17,6a782e97018c2b4d3ecad2cf,6a70a070faabc7ced4271957,product_viewed,6a777916b31338dbaaaf79bf,,,,,0,pending,2026-08-10T11:11:02.560Z,0,,,,,,,,,,,,,,,,,,,,,
6a79b1ce5e74060a157e6cf7,session_1786293764305_agj3v9c17,6a782e97018c2b4d3ecad2cf,6a70a070faabc7ced4271957,product_viewed,6a77783db31338dbaaaf7966,,,,,0,pending,2026-08-10T11:11:10.572Z,0,,,,,,,,,,,,,,,,,,,,,
6a79b1ce5e74060a157e6d04,session_1786293764305_agj3v9c17,6a782e97018c2b4d3ecad2cf,6a705b1d0bded7df22f1c4a5,product_viewed,6a71c2606066bd8f2f847dfb,,,,,0,pending,2026-08-10T11:11:10.595Z,0,,,,,,,,,,,,,,,,,,,,,
